amount,frequency,location_change,device_change,hour_of_day,is_fraud
65.12,3,0,0,11,0
152.85,5,0,0,18,0
130.33,2,0,0,18,0
116.37,1,0,0,12,0
62.14,3,1,0,22,0
71.34,2,0,0,9,0
305.84,1,0,0,12,0
27.8,2,0,0,22,0
43.83,2,0,0,8,0
32.71,4,0,0,21,0
10.87,3,0,0,10,0
239.26,4,0,0,21,0
13.69,5,0,0,21,0
15.34,4,0,0,16,0
154.22,2,0,0,22,0
23.44,6,0,0,19,0
128.17,3,0,0,8,0
27.06,4,0,0,18,0
73.12,2,0,0,19,0
311.36,2,0,0,17,0
94.81,3,0,0,18,0
32.82,3,0,0,8,0
20.69,2,1,0,16,0
5000.0,8,1,1,2,1
49.04,3,0,0,21,0
50.62,1,0,0,16,0
42.25,4,1,0,22,0
64.11,2,0,0,13,0
21.34,0,0,1,17,0
19.5,3,0,0,13,0
12.94,1,1,0,10,0
12.98,6,1,0,8,0
6.87,2,0,0,12,0
59.31,4,0,0,10,0
79.31,3,0,0,14,0
4.83,7,0,0,22,0
259.51,4,0,0,16,0
133.86,1,0,0,9,0
8.44,3,0,0,17,0
298.16,5,1,0,13,0
18.52,4,0,0,20,0
20.52,5,0,0,14,0
14.69,5,0,0,8,0
134.82,3,0,0,13,0
21.94,1,0,0,12,0
162.73,5,0,0,18,0
98.46,3,0,0,16,0
32.14,5,0,0,11,0
52.74,3,0,0,12,0
5000.0,13,0,0,1,1
9.59,5,0,0,11,0
78.71,7,0,0,18,0
29.16,5,0,0,18,0
133.3,0,0,0,11,0
77.46,2,0,0,20,0
140.59,1,0,0,20,0
55.0,2,0,1,21,0
56.74,3,0,0,9,0
20.69,6,0,0,21,0
23.84,4,0,1,21,0
36.42,3,0,0,21,0
53.72,4,1,0,21,0
35.07,3,0,0,10,0
11.79,4,0,0,11,0
255.22,6,0,0,17,0
234.07,1,0,0,22,0
179.69,4,0,0,17,0
39.54,4,0,0,19,0
87.63,2,0,0,16,0
89.25,2,1,0,12,0
70.64,3,0,0,19,0
110.72,2,0,0,18,0
52.85,2,1,0,14,0
83.24,1,0,0,19,0
50.83,2,0,0,20,0
118.52,3,0,0,22,0
22.04,0,0,0,11,0
12.85,4,0,0,19,0
288.3,2,0,0,15,0
206.06,5,0,0,8,0
209.65,3,0,0,20,0
82.19,2,0,0,18,0
24.44,0,0,1,15,0
81.24,1,1,0,21,0
7.03,6,0,0,8,0
49.1,1,0,0,22,0
25.22,1,0,0,11,0
33.72,2,0,0,10,0
14.57,5,0,0,21,0
668.78,1,0,0,22,0
211.2,0,0,0,10,0
12.24,4,0,0,15,0
42.82,2,0,1,9,0
27.66,0,0,0,8,0
26.45,4,0,0,22,0
91.65,2,0,0,8,0
97.48,7,0,0,9,0
101.38,2,0,0,21,0
25.74,1,0,0,13,0
33.39,7,0,0,18,0
198.03,2,0,1,10,0
43.75,5,0,0,9,0
7.57,2,0,0,9,0
86.86,4,0,0,9,0
70.64,2,0,0,17,0
71.37,3,1,0,14,0
19.45,3,0,0,12,0
32.5,5,0,0,22,0
51.94,3,0,0,20,0
114.43,2,0,0,22,0
11.82,4,0,0,11,0
61.72,3,0,0,11,0
55.67,4,0,0,15,0
82.66,5,0,0,22,0
176.12,1,0,0,21,0
44.07,2,1,0,12,0
79.25,2,0,0,11,0
232.99,2,0,0,16,0
141.23,2,0,0,10,0
67.57,5,0,0,22,0
47.9,5,0,0,13,0
198.89,1,0,0,9,0
38.33,4,0,0,17,0
18.22,3,0,1,15,0
57.09,4,0,1,17,0
15.61,3,0,0,9,0
400.04,2,0,0,18,0
44.55,7,0,0,8,0
13.61,3,0,0,14,0
218.91,1,0,0,8,0
26.86,0,0,0,8,0
213.9,1,0,0,11,0
538.5,2,0,0,8,0
38.82,1,0,0,10,0
698.55,10,0,0,19,0
65.62,5,0,0,17,0
106.52,4,0,0,22,0
84.7,4,0,0,13,0
48.61,3,0,0,20,0
178.94,2,0,0,9,0
31.97,1,0,0,21,0
102.28,5,0,0,20,0
24.63,3,0,0,13,0
38.04,5,0,0,9,0
156.52,3,0,0,21,0
52.69,3,0,0,8,0
46.66,1,0,0,16,0
58.75,4,0,0,15,0
89.99,6,1,0,20,0
439.68,3,0,0,12,0
79.36,3,0,0,18,0
80.32,4,0,0,8,0
17.14,3,0,0,14,0
79.82,2,0,0,16,0
160.78,2,0,0,12,0
171.82,1,0,0,9,0
66.2,4,0,0,17,0
59.9,5,0,0,13,0
55.84,3,0,0,13,0
65.67,3,0,0,10,0
59.81,1,0,0,15,0
87.18,0,0,0,10,0
189.53,3,0,0,15,0
167.51,4,0,1,15,0
26.19,9,0,0,20,0
9.73,5,0,0,11,0
31.85,1,0,0,13,0
52.72,2,0,0,21,0
40.06,2,0,0,8,0
106.6,6,0,0,19,0
105.58,1,0,0,21,0
79.99,1,0,0,14,0
47.12,4,0,0,14,0
6.88,1,0,0,17,0
3.5,2,0,0,16,0
27.74,2,0,0,10,0
9.55,1,0,0,19,0
56.4,3,0,0,13,0
42.58,0,0,0,12,0
23.48,7,1,0,16,0
14090.94,18,1,1,5,1
87.48,1,0,0,14,0
19.6,2,0,0,13,0
90.31,2,0,0,10,0
422.27,6,0,0,17,0
497.5,1,0,0,19,0
157.61,1,0,0,11,0
152.03,2,1,0,21,0
81.11,1,0,0,9,0
29.15,3,0,0,9,0
10922.07,29,0,1,1,1
22.14,3,1,0,18,0
23.42,2,0,0,11,0
137.85,2,0,0,11,0
34.37,1,0,0,16,0
16.05,2,0,0,14,0
196.26,3,0,0,10,0
31.84,4,0,0,14,0
55.29,4,0,0,17,0
142.88,2,0,0,8,0
34.1,1,0,0,21,0
11.65,1,0,0,19,0
97.17,3,1,0,14,0
86.77,2,0,0,10,0
56.71,4,0,0,20,0
290.43,6,0,0,14,0
113.19,0,0,0,14,0
219.65,3,0,0,18,0
6228.78,15,0,0,4,1
33.96,0,0,0,21,0
37.66,1,0,0,16,0
38.7,3,0,0,16,0
102.15,2,0,0,17,0
62.64,1,0,0,11,0
9.95,3,0,0,14,0
44.79,3,0,0,14,0
8.41,3,0,0,17,0
80.78,3,0,0,15,0
44.94,4,0,0,17,0
96.04,3,0,0,18,0
242.91,2,0,0,22,0
35.85,1,0,0,13,0
11.62,1,0,0,20,0
58.27,2,0,0,11,0
100.52,4,0,0,13,0
59.56,3,0,0,9,0
7.83,3,0,0,17,0
27.54,2,0,0,21,0
13.43,3,0,0,8,0
29.04,5,1,0,20,0
32.9,4,0,0,22,0
20.33,2,0,0,15,0
70.86,4,0,0,12,0
14.58,4,0,0,12,0
18.9,1,0,0,16,0
66.92,2,1,0,11,0
98.35,6,0,0,9,0
12.83,2,0,0,13,0
85.68,4,0,0,16,0
70.6,6,0,1,8,0
47.75,1,0,1,11,0
152.74,1,0,0,19,0
82.57,4,0,0,9,0
67.01,1,0,0,15,0
47.31,3,0,0,15,0
61.02,4,0,0,9,0
195.37,6,0,0,20,0
250.39,4,0,0,11,0
34.74,9,0,0,18,0
121.27,2,0,0,10,0
23.75,3,0,0,16,0
148.75,3,0,0,10,0
290.69,3,0,0,14,0
268.59,1,0,0,21,0
44.34,1,1,0,20,0
103.07,1,1,1,12,0
3.85,5,0,0,9,0
80.86,2,0,0,17,0
5.95,4,0,0,11,0
11342.04,15,1,1,0,1
23.42,7,0,0,13,0
74.43,1,0,0,14,0
63.87,1,0,0,10,0
78.84,6,0,0,20,0
71.23,5,0,0,14,0
51.5,2,0,0,17,0
148.01,5,0,0,20,0
14.81,2,1,0,9,0
90.1,1,0,0,8,0
35.58,1,0,0,21,0
19.04,3,1,0,8,0
51.28,1,0,0,8,0
39.84,5,0,0,8,0
5000.0,16,1,1,1,1
257.22,6,0,0,13,0
12.71,1,0,0,10,0
84.43,5,0,0,10,0
36.01,2,1,0,14,0
125.4,2,0,0,9,0
29.89,3,0,0,20,0
30.33,1,0,0,15,0
44.08,1,0,0,18,0
41.62,4,0,0,18,0
124.87,3,1,1,16,0
102.89,4,0,0,9,0
314.48,2,0,0,16,0
5.2,3,1,0,16,0
174.14,4,0,0,9,0
51.11,0,0,0,20,0
130.16,2,0,0,15,0
53.39,4,0,0,22,0
202.59,2,0,0,19,0
21.07,4,0,0,15,0
20.51,2,0,0,22,0
53.93,4,0,0,18,0
157.6,6,1,0,9,0
20.44,1,0,0,14,0
147.58,3,0,0,19,0
427.3,3,0,0,18,0
5000.0,14,0,1,0,1
149.48,5,0,0,14,0
118.39,3,0,0,22,0
32.99,1,0,0,20,0
58.65,3,0,0,13,0
51.71,5,0,1,15,0
113.66,5,0,0,16,0
209.53,3,0,0,20,0
33.2,0,0,0,14,0
54.19,1,0,0,22,0
59.41,2,0,0,17,0
197.47,1,1,0,18,0
53.03,3,0,0,14,0
42.25,1,0,0,22,0
110.66,3,0,0,15,0
16.77,2,0,0,16,0
25.74,3,0,0,14,0
14.6,2,0,0,20,0
141.98,1,0,0,14,0
126.34,2,1,0,19,0
78.22,6,0,0,11,0
76.39,1,0,0,19,0
13.84,3,0,0,18,0
74.28,1,0,0,19,0
132.27,3,0,0,20,0
167.49,1,0,0,19,0
152.84,1,0,0,8,0
5000.0,18,0,0,0,1
74.42,4,0,0,10,0
116.5,2,0,0,9,0
5000.0,8,1,0,1,1
14736.27,16,1,1,3,1
39.8,1,0,1,14,0
20.61,4,0,0,9,0
17.91,4,0,0,22,0
10.56,4,0,0,21,0
70.8,2,0,0,16,0
74.37,3,0,0,17,0
25.48,1,0,0,22,0
53.95,4,0,0,19,0
119.42,4,0,0,8,0
20.36,4,0,0,8,0
219.62,2,0,0,15,0
5000.0,24,1,1,3,1
29.45,3,0,0,22,0
57.36,3,0,0,17,0
56.35,4,0,0,14,0
65.5,1,0,0,15,0
20.44,2,0,0,17,0
450.92,3,0,0,12,0
39.14,5,0,0,13,0
4.09,5,0,0,17,0
45.7,4,0,0,10,0
126.69,5,0,0,12,0
20.78,5,0,1,10,0
157.25,3,0,0,20,0
43.66,2,0,0,12,0
273.77,4,0,0,8,0
70.62,2,0,0,8,0
94.91,2,0,0,12,0
5000.0,16,1,0,5,1
54.83,3,0,0,20,0
52.92,5,0,0,21,0
50.93,2,0,0,10,0
89.72,2,0,0,10,0
201.21,4,0,0,11,0
230.8,3,0,1,8,0
44.1,9,0,0,18,0
17.05,3,0,1,21,0
22814.56,13,0,0,3,1
39.9,6,0,0,15,0
65.06,2,0,0,21,0
19.39,3,0,0,13,0
173.11,3,0,1,20,0
55.25,1,0,0,11,0
5000.0,21,0,0,4,1
958.35,4,0,1,17,0
7.03,6,0,0,19,0
35.97,6,1,0,16,0
58.47,2,0,0,15,0
47.45,1,0,0,9,0
13.85,3,0,1,16,0
31.43,1,0,0,8,0
130.42,2,0,0,19,0
82.24,3,0,0,16,0
37.89,4,0,0,18,0
475.8,3,0,0,21,0
11.82,1,0,0,21,0
57.93,3,0,0,20,0
99.89,4,0,0,18,0
47.84,3,0,0,15,0
88.14,5,0,0,17,0
224.72,4,0,0,16,0
38.17,1,1,0,17,0
39.01,1,0,0,22,0
46.43,3,0,0,20,0
41.22,3,0,0,19,0
5.98,0,0,0,16,0
242.22,4,0,0,17,0
49.76,6,0,0,17,0
78.37,5,0,0,22,0
47.82,1,0,0,8,0
15.44,2,0,0,20,0
44.86,4,0,0,17,0
55.34,1,0,0,14,0
124.03,5,0,1,8,0
53.55,0,0,0,20,0
15.68,5,0,0,16,0
135.36,4,0,0,20,0
18.77,2,0,0,14,0
14.4,3,0,0,13,0
61.68,2,0,0,8,0
165.13,5,0,0,16,0
90.98,4,1,0,21,0
26.78,3,0,0,8,0
6.94,1,1,0,20,0
72.0,2,0,1,8,0
107.98,4,0,0,17,0
38.0,2,0,0,19,0
322.24,3,0,0,13,0
31.51,3,1,0,19,0
5000.0,16,0,0,0,1
5000.0,12,1,0,5,1
244.88,2,0,0,9,0
31.05,4,0,1,14,0
220.4,5,0,0,20,0
87.97,7,1,0,9,0
24.48,1,0,0,20,0
53.63,1,0,0,12,0
251.76,3,0,0,18,0
19.95,3,0,0,21,0
275.56,2,0,0,15,0
23.41,4,0,0,10,0
108.48,4,1,0,13,0
11.44,3,0,0,16,0
69.32,3,0,0,13,0
39.13,4,0,0,16,0
38.77,3,0,0,18,0
53.73,1,0,0,19,0
45.69,4,0,0,21,0
49.64,1,0,0,10,0
105.31,2,0,1,16,0
73.26,4,1,0,16,0
130.49,4,0,0,9,0
73.04,1,0,0,8,0
59.04,5,0,0,20,0
70.72,1,0,0,17,0
75.52,2,1,0,15,0
34.14,2,0,0,11,0
37.89,4,0,0,13,0
296.59,4,0,0,19,0
67.2,4,0,0,13,0
43.24,3,0,0,17,0
36.0,4,0,0,21,0
19.92,3,0,0,9,0
49.3,1,0,1,10,0
12.02,5,0,0,12,0
34.76,3,0,0,17,0
36.9,3,0,0,9,0
26.36,1,0,0,22,0
209.75,2,1,0,22,0
17678.13,15,1,1,4,1
13.39,3,0,0,17,0
70.06,8,0,0,16,0
19.08,2,0,0,16,0
125.36,4,0,1,14,0
149.88,0,0,0,14,0
24.1,2,0,0,13,0
47.89,9,1,0,8,0
24.48,3,0,0,13,0
393.11,4,1,0,13,0
19.29,3,0,0,14,0
11.9,7,0,0,17,0
22.51,2,0,0,13,0
48.96,2,0,0,22,0
60.67,10,0,0,20,0
9.2,3,0,0,10,0
43.22,3,0,0,13,0
103.83,4,0,0,15,0
18.99,4,0,0,10,0
67.28,3,0,0,10,0
324.7,3,0,0,20,0
140.51,2,0,0,13,0
38.84,3,1,0,22,0
130.52,3,0,0,13,0
80.3,2,0,0,21,0
5000.0,14,1,0,1,1
55.18,2,0,0,18,0
50.53,5,0,1,20,0
95.2,1,0,1,14,0
118.02,5,0,0,9,0
19130.79,18,0,0,5,1
210.83,4,0,0,10,0
8.39,1,0,0,18,0
168.64,2,0,0,19,0
49.94,4,0,0,10,0
24.0,2,0,0,13,0
14099.92,22,1,1,4,1
40.21,1,0,0,18,0
72.76,4,0,0,8,0
32.59,5,0,0,22,0
16.13,3,0,0,16,0
42.46,2,0,0,17,0
252.33,3,0,0,14,0
25.88,2,0,0,22,0
655.36,0,0,0,20,0
2.88,3,1,0,20,0
177.86,4,0,0,8,0
58.75,1,0,0,15,0
157.14,3,0,0,12,0
28.92,7,0,0,15,0
59.71,2,0,0,19,0
43.21,6,0,0,20,0
45.3,3,0,0,9,0
221.32,1,0,1,19,0
94.8,3,0,0,14,0
51.2,4,0,0,13,0
192.02,2,0,0,13,0
53.77,7,0,0,15,0
90.93,5,0,0,11,0
111.64,5,0,0,22,0
73.56,3,0,0,13,0
43.75,3,1,0,9,0
247.44,1,1,0,12,0
12.1,5,0,0,22,0
41.24,5,0,0,8,0
179.06,5,0,0,9,0
95.02,4,0,0,8,0
398.33,4,0,0,20,0
90.52,2,0,0,21,0
14.86,1,1,0,8,0
230.47,0,0,0,17,0
47.23,1,0,1,8,0
29.23,1,0,0,9,0
16.82,2,1,0,15,0
38.04,2,0,0,20,0
106.8,4,0,0,13,0
21.44,3,0,0,9,0
88.26,3,1,0,18,0
109.26,5,0,0,20,0
72.17,4,0,0,20,0
20.82,4,0,0,20,0
256.89,3,0,0,21,0
99.36,3,0,0,18,0
110.44,4,0,0,16,0
165.29,5,0,0,11,0
390.3,2,0,0,22,0
26.36,5,0,1,22,0
32.62,4,0,0,15,0
7663.05,22,1,1,3,1
68.07,5,1,0,18,0
5000.0,18,1,1,2,1
49.06,4,0,1,16,0
28.95,2,0,0,21,0
17.81,1,1,0,10,0
248.01,3,0,0,11,0
25.36,2,0,0,8,0
18.22,1,0,0,11,0
36.45,1,0,0,13,0
21.1,3,0,0,18,0
12.22,2,0,1,21,0
34.49,2,0,0,19,0
5.95,1,0,0,12,0
88.48,1,0,0,12,0
44.74,1,0,0,10,0
29.28,5,0,0,11,0
47.13,2,1,0,20,0
25.52,2,0,0,8,0
28.25,3,0,0,10,0
54.7,3,0,0,21,0
93.21,3,0,0,18,0
15.73,4,1,0,9,0
32.09,2,0,0,19,0
145.31,3,0,0,10,0
80.37,3,0,0,9,0
30.06,2,0,0,18,0
13.13,2,0,0,21,0
736.33,4,0,0,10,0
16.79,4,0,0,20,0
39.62,2,0,0,11,0
24.83,2,0,0,13,0
16.48,2,0,0,11,0
29.98,2,0,0,12,0
4.78,4,0,0,21,0
20.64,1,0,0,16,0
68.05,3,0,0,11,0
35.65,2,0,0,22,0
10.37,1,0,0,18,0
80.88,4,0,0,20,0
51.04,2,1,0,20,0
91.29,3,0,0,14,0
15.32,4,0,1,10,0
160.47,0,0,0,17,0
232.25,3,0,0,9,0
55.27,1,1,0,9,0
119.51,8,0,0,8,0
5000.0,8,1,0,5,1
31.13,1,0,0,20,0
11.35,7,0,0,17,0
29.05,5,0,0,17,0
8.84,5,0,0,9,0
59.5,1,0,0,10,0
142.28,4,0,0,8,0
28.18,3,0,0,16,0
141.53,1,0,0,14,0
105.13,2,0,0,16,0
78.29,2,0,0,21,0
67.95,3,0,0,16,0
10.85,5,0,0,21,0
76.55,1,0,0,14,0
65.36,1,0,0,21,0
16.65,5,0,0,20,0
120.1,3,0,0,8,0
80.95,2,1,0,15,0
17882.79,15,1,0,3,1
103.36,3,0,0,14,0
24.85,1,0,0,10,0
41.31,5,0,0,22,0
18.62,0,0,0,13,0
84.5,8,0,0,19,0
108.45,3,0,0,8,0
81.39,1,0,1,18,0
79.85,2,0,0,13,0
12.83,1,0,0,19,0
540.18,6,1,0,17,0
17.77,1,0,1,22,0
32.22,1,0,0,20,0
135.77,0,0,0,16,0
27.44,5,0,0,9,0
123.81,3,0,0,16,0
62.6,2,0,1,18,0
143.71,2,0,0,19,0
54.58,1,0,0,17,0
47.49,2,0,0,22,0
103.0,4,0,0,17,0
33.34,2,0,0,10,0
32.31,3,0,0,15,0
638.98,2,0,0,8,0
46.91,4,1,0,22,0
75.42,4,1,0,17,0
86.25,7,0,0,20,0
23.01,4,0,0,12,0
254.47,2,0,0,12,0
12.79,1,0,0,11,0
9.36,2,1,0,19,0
77.61,5,0,1,15,0
54.95,4,1,0,9,0
39.05,4,0,0,15,0
48.69,1,0,0,10,0
39.41,3,0,0,14,0
33.35,5,0,0,9,0
594.89,1,0,1,14,0
26.4,1,0,0,9,0
26.55,5,0,0,19,0
25.69,8,0,0,10,0
13.06,3,0,0,8,0
7.26,4,0,0,15,0
428.31,2,0,0,14,0
46.26,2,0,0,16,0
169.97,5,0,0,20,0
55.76,2,0,0,17,0
19.2,4,0,0,18,0
16.29,2,0,0,8,0
73.5,4,0,1,8,0
39.08,1,0,0,14,0
455.85,5,0,0,15,0
67.86,3,0,0,21,0
51.55,5,0,0,22,0
127.41,0,0,0,19,0
75.5,7,0,0,13,0
78.37,1,0,0,8,0
206.53,1,0,0,21,0
152.47,3,0,0,21,0
84.73,2,0,0,14,0
80.11,2,0,0,11,0
13.75,2,0,0,12,0
186.36,3,0,0,11,0
37.67,2,0,0,12,0
34.12,3,0,0,19,0
57.88,3,0,1,13,0
8.37,2,1,0,10,0
11.54,3,0,0,17,0
63.41,3,1,0,21,0
319.08,2,0,0,18,0
209.79,4,0,0,21,0
64.74,1,0,0,20,0
23.24,0,0,0,15,0
31.69,2,0,0,9,0
32.17,6,0,0,11,0
31.95,5,0,0,18,0
61.77,2,0,0,11,0
35.55,6,0,0,8,0
14.05,2,0,0,15,0
155.6,4,0,0,12,0
7.03,1,0,0,16,0
13.71,1,1,0,16,0
23.64,1,0,0,11,0
36.23,5,0,0,14,0
42.31,2,0,0,14,0
41558.33,17,1,0,3,1
21.33,2,0,0,16,0
7.88,3,1,0,15,0
82.53,3,0,0,16,0
66.1,3,0,0,12,0
61.76,3,0,0,20,0
37.5,1,0,0,21,0
97.26,3,0,0,17,0
147.84,4,0,0,22,0
40.63,1,0,0,9,0
133.45,2,0,0,21,0
89.07,2,0,0,12,0
11.67,4,0,0,13,0
116.35,3,0,0,20,0
56.56,4,0,0,16,0
60.78,1,1,0,12,0
65.14,2,0,0,17,0
11.21,5,0,0,12,0
5000.0,18,1,1,0,1
75.5,4,0,0,15,0
55.46,2,0,0,8,0
48.66,3,0,0,15,0
62.59,4,0,0,10,0
52.5,3,0,0,22,0
31.46,2,0,0,20,0
35.24,6,0,0,17,0
130.62,2,0,0,19,0
111.23,1,0,0,15,0
203.8,7,0,0,20,0
37.74,2,0,0,21,0
27.99,3,0,0,11,0
56.7,3,0,0,22,0
88.24,2,0,0,8,0
36.22,3,0,0,15,0
47.99,5,0,0,10,0
62.68,4,0,0,8,0
74.03,5,0,0,22,0
70.15,2,0,0,21,0
5000.0,8,1,0,2,1
71.45,4,0,0,15,0
36.9,5,0,0,21,0
9.24,0,0,0,21,0
221.74,2,0,1,9,0
20.46,3,0,0,12,0
13.72,4,1,0,22,0
37.17,2,0,0,15,0
20.6,3,0,0,8,0
103.38,2,0,0,21,0
306.65,2,0,0,8,0
66.72,3,1,0,9,0
10.84,1,0,0,18,0
547.82,1,0,0,8,0
20.8,2,0,0,20,0
76.75,3,0,0,11,0
262.05,2,0,0,14,0
55.38,5,0,0,15,0
201.04,7,0,0,18,0
5000.0,19,1,1,3,1
5764.33,13,0,0,4,1
5000.0,22,1,0,0,1
69.75,1,0,0,18,0
